Прізвище,Ім’я,По батькові,Стать,Дата народження,Посада,Місто проживання,Адреса проживання,Телефон,Email
Гайденко,Валерій,Опанасович,Чоловік,03-06-1963,М'ясник,місто Шаргород,"площа Композитора Глинки, буд. 675, Горохів, 84738",+380 48 047-52-23,havrylo81@example.net
Єресько,Богодар,Омелянович,Чоловік,21-10-2003,Кінорежисер,село Дніпрорудне,"сквер Олександра Невського 1-й, буд. 4, Зіньків, 65587",+380 32 460-67-53,mykhailychenkosnizhana@example.com
Іваненко,Тарас,Амвросійович,Чоловік,03-10-1937,Гірничий інженер,місто Васильків,"вулиця Лиманчик 2-й Лінія 3-тя, буд. 403, П'ятихатки, 74103",+380 92 990-93-62,nadiiaandriishyn@example.org
Козаченко,Лукʼян,Прохорович,Чоловік,12-09-1966,Пілот,місто Вараш,"шосе Усатівська, буд. 6, Новоазовськ, 90140",+380 14 274-75-64,ustym25@example.net
Полтавець,Азар,Зиновійович,Чоловік,05-03-1989,Няня,село Рудки,"шосе Героїв Небесної Сотні, буд. 87, Берестечко, 59942",+380 14 905 88 61,kylymnykfrants@example.net
Ємельяненко,Артем,Панасович,Чоловік,09-07-1938,Астрофізик,селище Рені,"шосе Технічний, буд. 04 кв. 56, Нетішин, 65574",+380 20 338-20-97,vadymtsisyk@example.com
Верхола,Онисим,Олексович,Чоловік,22-05-1946,Нотаріус,хутір Таврійськ,"площа Миколи Вороного, буд. 8, Южноукраїнськ, 62730",009 901 72 36,avreliihunko@example.net
Теличенко,Спас,Іванович,Чоловік,20-09-2005,Мовознавець,селище Вуглегірськ,"набережна Лінія 50-та, буд. 4, Глухів, 01560",+380 68 033-64-62,leontiichaban@example.com
Бабариченко,Вʼячеслав,Олексович,Чоловік,05-08-1939,Графік,село Селидове,"парк Ковалевського, буд. 023 кв. 8, Батурин, 67843",+380 88 619-92-91,mazhazha@example.net
Дутка,Мартин,Єлисейович,Чоловік,31-08-1979,Ботанік,хутір Апостолове,"вулиця Польська, буд. 6 кв. 912, Сокаль, 46419",073 245 27 41,zandriienko@example.net
Цимбалюк,Едуард,Несторович,Чоловік,01-04-1989,Астроном,місто Костопіль,"набережна Венгера, буд. 11 кв. 89, Шепетівка, 01215",+380 (65) 646-02-13,leonpetryk@example.net
Бебешко,Прохір,Климентович,Чоловік,02-04-1964,Модельєр,хутір Умань,"узвіз Друга, буд. 20, Джанкой, 13541",093 595 18 76,eduard44@example.org
Черінько,Ада,Юстимівна,Жінка,24-02-1965,Медик,хутір Жашків,"узвіз Дунаєвського, буд. 998 кв. 814, Сіверськ, 59650",087 501-25-59,vladyslav69@example.com
Даценко,Альбіна,Степанівна,Жінка,14-11-2000,Хореограф,місто Люботин,"площа Плієва, буд. 4, Бориспіль, 31032",043-75-38,iakiv28@example.net
Арсенич,Аліна,Теодорівна,Жінка,25-06-1997,Лікар,хутір Тернопіль,"узвіз Азербайджан, буд. 674 кв. 841, Галич, 56488",+380 29 444-82-95,danylo61@example.org
Оберемко,Марія,Геннадіївна,Жінка,13-05-1980,Співак,хутір Володимир-Волинський,"сквер Гранатна, буд. 46, Рівне, 81527",+380 (65) 218-62-61,artem80@example.net
Конопленко,Ірина,Валентинівна,Жінка,02-10-1980,Гірник,хутір Ровеньки,"проспект Університетський, буд. 13 кв. 4, Трускавець, 85173",+380 50 039-36-02,simashkevychmakar@example.org
Шахрай,Ганна,Данівна,Жінка,27-12-1989,Водій,село Покров,"набережна Шкодова гора, буд. 41 кв. 210, Курахове, 83975",+380 70 482 37 70,oksana13@example.com
Базилевич,Богданна,Ааронівна,Жінка,09-06-1980,Кушнір,село Шахтарськ,"сквер Приморський, буд. 5, Марганець , 30926",+380 63 118-49-67,ibashpolchenko@example.com
Ванченко,Ярослава,Бориславівна,Жінка,16-03-1941,Машиніст,місто Радивилів,"провулок Морехідний, буд. 038, Теребовля, 91434",343-07-91,dan12@example.net
Каденюк,Орина,Данилівна,Жінка,21-05-1939,Палеонтолог,хутір Здолбунів,"сквер Умова, буд. 24 кв. 931, Камінь-Каширський, 60693",517-96-03,zinchuktaras@example.com
Дерегус,Ярина,Володимирівна,Жінка,05-07-1997,Музичний редактор,селище Березань ,"шосе Деревообробний 2-й, буд. 7, Комарно, 97363",+380 (39) 143-60-87,valerii44@example.org
Панчук,Амалія,Миронівна,Жінка,01-08-2006,Електрослюсар,село Нова Каховка,"площа Мусіна, буд. 145 кв. 706, Тростянець, 05939",030 443-96-19,volodymyr08@example.net
Акименко,Віра,Глібівна,Жінка,31-01-2004,Геофізик,хутір Бібрка,"парк Кордонний, буд. 26 кв. 23, Довжанськ, 93710",+380 13 971 79 52,halynakaras@example.net
Івасюк,Марʼяна,Адамівна,Жінка,07-11-1988,Мінералог,село Косів,"проспект Шухевича Романа, буд. 961 кв. 551, Миколаїв, 16427",+380 22 069 57 57,olifirenkonadiia@example.org
Тесленко,Орися,Богодарівна,Жінка,06-09-1962,Сантехнік,селище Овруч,"площа Олександра Невського, буд. 241, Херсон, 77386",+380 43 054-62-28,petliuraeduard@example.com
Туркало,Едита,Валеріївна,Жінка,17-05-1959,Ріелтор,село Рожище,"парк М’ясоєдовська, буд. 749, Тлумач, 81823",+380 52 732-95-89,volodymyrarkhymovych@example.org
Ковпак,Едита,Вʼячеславівна,Жінка,24-01-1942,Геолог,село Ходорів,"сквер Косий, буд. 9 кв. 592, Калинівка , 43568",560 51 29,lshynkarenko@example.org
Рубан,Василина,Борисівна,Жінка,05-09-1966,Перекладач,село Підгайці,"шосе Юннатів 3-й, буд. 55 кв. 87, Зеленодольськ, 64363",+380 54 641-48-53,milena66@example.com
Баранник,Варвара,Соломонівна,Жінка,10-08-1980,Секретар,місто Надвірна,"проспект Надіїі, буд. 82 кв. 49, Дергачі, 14702",044 480-51-00,darahanzlatoslava@example.com
Щербань,Данна,Микитівна,Жінка,30-09-1998,Шериф,місто Жданівка,"проспект Одарія, буд. 39, Іллінці, 06079",+380 45 078-20-94,iefymenkomyroslav@example.com
Стус,Михайлина,Аркадіївна,Жінка,16-03-1967,Архітектор,селище Буча,"парк Бреуса, буд. 553, Антрацит , 21126",+380 13 015-75-32,qsych@example.com
Каденюк,Ярослава,Степанівна,Жінка,01-03-1998,Географ,селище Токмак,"парк Заводська 1-ша, буд. 97, Конотоп, 98616",900 64 73,borysvovk@example.com
Бандура,Амалія,Аврелійовна,Жінка,17-11-2002,Головний меркшейдер,хутір Чоп,"парк Тимірязєва 5-й, буд. 86, Коростень, 28503",+380 (98) 705-75-69,iashchenkoielysei@example.com
Бандура,Володимира,Петрівна,Жінка,08-04-1957,Антрополог,село Бахмач,"площа Льва Симиренка, буд. 683 кв. 45, Надвірна, 64798",+380 06 558 83 17,ezinchenko@example.net
Гунько,Марія,Вікторівна,Жінка,30-12-1984,Геолог,хутір Торецьк,"проспект Чорноморський 4-й, буд. 13, Новоселиця, 22586",+380 (86) 550-19-51,pryimakdan@example.net
Андрієвич,Альбіна,Артемівна,Жінка,17-08-1953,Економіст,хутір Вознесенськ,"шосе Георгія Гамова, буд. 72, Виноградів, 24362",+380 77 965 96 68,iiatseniuk@example.net
Акименко,Тереза,Феофанівна,Жінка,15-11-1998,Хімік,місто Тлумач,"сквер Естонський, буд. 18 кв. 897, Довжанськ, 50294",513 00 42,avhustyn70@example.org
Чередник,Любов,Данівна,Жінка,14-07-1953,Драматург,хутір Миколаїв,"набережна Успенський, буд. 30 кв. 74, Селидове, 66036",673-77-41,danylo18@example.net
Матяш,Надія,Артемівна,Жінка,30-05-1993,Стиліст,місто Умань,"набережна Толбухіна, буд. 5, Лубни, 11592",810-00-17,wshyian@example.net
